date,clones,uniques
2026-05-28,0,0
2026-05-29,0,0
2026-05-30,0,0
2026-05-31,0,0
2026-06-01,0,0
2026-06-02,0,0
2026-06-03,0,0
2026-06-04,0,0
2026-06-05,0,0
2026-06-06,0,0
2026-06-07,0,0
2026-06-08,0,0
2026-06-09,0,0
2026-06-10,0,0
2026-07-02,1,1
2026-07-03,1,1
2026-07-04,1,1
2026-07-05,1,1
2026-07-06,2,2
2026-07-07,1,1
2026-07-08,1,1
2026-07-09,2,2
2026-07-10,1,1
2026-07-11,1,1
2026-07-12,2,2
2026-07-13,1,1
2026-07-14,1,1
2026-07-15,1,1
2026-07-16,6,4
2026-07-17,10,6
2026-07-18,5,4
2026-07-19,5,4
2026-07-20,2,2
2026-07-21,5,4
2026-07-22,17,12
2026-07-23,6,6
2026-07-24,6,5
2026-07-25,2,2
2026-07-26,4,4
2026-07-27,4,3
2026-07-28,5,5
2026-07-29,2,2
2026-07-30,10,6
2026-07-31,2,2
2026-08-01,4,3
2026-08-02,5,4
2026-08-03,7,4
