date,release,asset,downloads
2026-06-10,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-16,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-17,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-18,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-19,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-20,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-21,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-22,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-23,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-24,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-25,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-26,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-27,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-28,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-29,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-30,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-07-31,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-01,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-02,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-03,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-04,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-05,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-06,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-07,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-08,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-09,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-10,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-11,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-13,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-14,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-15,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-16,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-17,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-18,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-19,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-20,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-21,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-22,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-23,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-24,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-25,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
2026-08-26,mcp-v0.1.0,portpeek-mcp-macos-arm64.zip,1
